appeal,supreme,url
723/2018,24/2021,https://www.haestirettur.is/domar/_domur/?id=857bc01d-0054-41b3-92e8-39d2b4270f6e
190/2021,23/2021,https://www.haestirettur.is/domar/_domur/?id=2f085533-ef72-4c35-a180-edd56e205278
7/2020,12/2021,https://www.haestirettur.is/domar/_domur/?id=3c367a93-cd22-4373-acf9-5caa4d9cb2c3
356/2020,8/2021,https://www.haestirettur.is/domar/_domur/?id=96e2fc20-aff8-478a-bec0-002bb03dcda5
825/2019,5/2021,https://www.haestirettur.is/domar/_domur/?id=a14fd6b4-433d-4458-925f-d4c1fc1d4700
452/2019,2/2021,https://www.haestirettur.is/domar/_domur/?id=bb384fd6-a9e8-4ad5-bc0d-a7e8de41204a
367/2019,40/2020,https://www.haestirettur.is/domar/_domur/?id=be7b4ed8-56a9-4b84-b134-c98fda60c0ca
125/2020,16/2021,https://www.haestirettur.is/domar/_domur/?id=023dd383-51d2-4ea9-b0e9-b8c8f2a3625a
555/2020,7/2021,https://www.haestirettur.is/domar/_domur/?id=e0fe95e7-b259-4bcf-b475-9b61452385be
496/2019,38/2020,https://www.haestirettur.is/domar/_domur/?id=176c5dbe-9ad3-401a-9d84-d76687598ba6
20/2019,29/2020,https://www.haestirettur.is/domar/_domur/?id=c9021b0e-2cbb-488a-9825-34e4433d8868
6/2020,14/2021,https://www.haestirettur.is/domar/_domur/?id=9c149bd6-556a-4d63-bc14-3fc6e6d93ccc
723/2018,34/2020,https://www.haestirettur.is/domar/_domur/?id=85d46fb5-397f-4cbf-b808-b492262a8572
57/2021,11/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=1a4052cf-f083-4a11-b072-2547578b136f
58/2021,10/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7fda3e6c-46a5-4659-836b-087d8af17001
516/2018,26/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3766b63f-509c-43ed-af6f-ac738a7c5408
667/2020,13/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=9b70d65c-527f-45d2-9429-50c59b0c1288
60/2019,30/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d3406746-8a3a-4dbe-a611-af5ac4f01883
632/2019,27/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b6a3fcb0-c38f-4785-ad70-17af3ab0e0f9
856/2018,23/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f15a4780-2f44-41a9-95b2-ce0868483761
857/2018,22/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4feb7ed1-dde8-4208-a216-79027fc9e2ea
42/2021,6/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=682dc78b-001b-42b8-b715-a9e3ae268fcd
532/2018,9/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3bd2e892-0564-4dfd-afc6-acbde29dbee8
690/2019,28/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0cc0938c-5551-430f-9ea4-035aee43f7a6
287/2019,18/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f20816f1-d584-4738-92fb-a209b475d4d9
286/2019,17/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=bd39b00b-93b8-41ea-9bd9-b6ba482ba7db
410/2020,36/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=5530683b-bb13-4292-a799-38a61d318bdc
3/2021,1/2021,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=10c2b06a-d631-4474-b9e3-52829698be11
444/2019,37/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=e99b632b-56fa-4da8-ae12-735a14e5359c
490/2018,42/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a1962b39-f939-4bdf-a1f6-9bb2fe439880
261/2019,24/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a5b62e42-b528-41c0-9eb8-048875864cb9
387/2019,25/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8ed0fefa-3f2f-4889-ab11-f8f3e8cdc340
258/2019,21/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ddb4be0e-6842-4919-8ce1-b5808aae55d5
259/2019,20/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=5aee710b-cfff-470a-8787-ba2dd905030d
680/2019,32/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=646db761-4d80-4137-bb22-fa92f8bf8b46
678/2019,31/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=cb3cf462-accf-4d0f-9c04-ad7709c23852
147/2020,33/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b128e9e9-1270-428f-81d8-ac3a8637d09f
113/2019,14/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d9ba449f-18d0-4f87-98da-76ec6ff995e5
35/2019,19/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3754cec7-6662-4d22-8b4b-3ad45b6450a9
907/2018,16/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=9e7a189b-834a-4731-9621-9c51d81cdf5f
260/2019,13/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8b253016-baa1-43c3-a9ca-5c410c71da86
862/2018,15/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b0e1a302-450b-4951-9a9b-707dda09623c
255/2019,10/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=8b876eb5-fea2-4b3b-8b81-7b755ca26f19
782/2018,54/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=2fbc8358-80f1-4d7b-accb-850a36e821fc
234/2019,6/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=69f6eb8d-5218-425b-88b3-e2f1e813e053
900/2018,5/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=81e34e06-dfb5-4223-b9a1-17be7650b297
217/2019,4/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=447c90d6-7aee-4254-ad7d-d006481d41dc
847/2018,2/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b1461c45-e78d-4827-a2fd-21079dfc44a9
899/2018,3/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=16a1d14a-e13e-4f0e-bc8e-61df7d914cd3
736/2018,57/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7cb61167-2d01-42b0-ac75-aa11c799ce42
928/2018,56/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=68494966-e7f2-4938-aa3f-c5bd2699bf92
647/2018,39/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0247832b-bbaf-4318-ada2-9b859c712f9d
930/2018,55/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=d558e0be-e529-4b4c-8d41-22b6b71dd2a7
825/2018,53/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=4123ed90-3e1b-4068-86f0-dab01a50f0b8
804/2018,52/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=a4015264-e337-4c39-9d04-f71991a71fce
784/2019,8/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=3b488565-f5ca-44d7-a77d-dcdf2c790f40
783/2019,7/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=b1441c1e-befb-4eab-b09e-4cb2b94de986
580/2019,11/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=f709c0f3-52a9-428d-b787-fd90ffe43779
929/2018,51/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=7bda2be6-c3a8-4afc-8b89-855d988a68b3
802/2018,50/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=0a3bd702-eabb-4471-9d67-f61db9923eaa
511/2018,30/2019,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=23c0c045-83f3-4eff-a8eb-66dc577b5e1e
10/2019,1/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=95446ba3-1cc2-4447-ad29-2aba56a53185
224/2019,12/2020,https://www.haestirettur.is/default.aspx?pageid=0f2f6428-7b6a-11eb-947c-005056bc0bdb&id=ed865e88-54d9-4810-81c3-06d970910346
