supreme_case_number,supreme_case_link,appeals_case_number,appeals_case_link,source_type,verdict_date,decision_status
2025-178,https://island.is/s/haestirettur/akvardanir/cf33b114-2fd9-4203-b2c9-b5ce3aea9602,959/2024,https://island.is/domar/g-1fcc9e03-7df5-4c03-a9b6-d223d19d7174,ákvörðun,17. desember 2025,Hafnað
35/2025,https://island.is/domar/s-06d72218-3a0a-4fd2-87b4-30199dfd10c4,429/2023,https://island.is/domar/g-f8a59ddb-be0f-4bb5-ab65-646a55498b4b,dóm,22. desember 2025,
2025-164,https://island.is/s/haestirettur/akvardanir/fc23d9b3-f7b5-4e5e-817d-df44f35f2595,664/2025,https://island.is/domar/g-04d831e6-42a9-40cf-b507-04ea4a8cb7aa,ákvörðun,17. desember 2025,Hafnað
2025-150,https://island.is/s/haestirettur/akvardanir/67393899-d6eb-43c5-ad36-c35e0f1db272,484/2025,https://island.is/domar/g-1a4d62d1-434a-4a06-9c1e-e326b1ec4b23,ákvörðun,19. desember 2025,Hafnað
2025-157,https://island.is/s/haestirettur/akvardanir/b6fea2ca-faef-43f5-a851-9f034164dbcc,241/2025,https://island.is/domar/g-a41f1692-27f7-4d6e-b22b-2f7bf0bd3011,ákvörðun,22. desember 2025,Samþykkt
2025-151,https://island.is/s/haestirettur/akvardanir/619071f1-e05e-42aa-9e21-56cea1cb9886,507/2024,https://island.is/domar/g-271740c5-801b-421a-9179-af2404b169d6,ákvörðun,19. desember 2025,Hafnað
2025-160,https://island.is/s/haestirettur/akvardanir/131928ae-843d-4609-a40c-1e535d618188,237/2025,https://island.is/domar/g-b40906e1-58be-4f45-a16a-5c17b08108bf,ákvörðun,22. desember 2025,Samþykkt
2025-149,https://island.is/s/haestirettur/akvardanir/2396ee38-7f4f-4a49-8916-1776452b3eae,483/2025,https://island.is/domar/g-0d4fbcd9-56f1-4de0-a0fb-d270534cc46a,ákvörðun,19. desember 2025,Hafnað
2025-161,https://island.is/s/haestirettur/akvardanir/5ab3c006-2b4f-422b-af32-42d7d94d6197,238/2025,https://island.is/domar/g-d5f6af49-9fa6-493c-af36-4d5b6957fd6d,ákvörðun,22. desember 2025,Samþykkt
2025-154,https://island.is/s/haestirettur/akvardanir/a6f73412-3ce4-4f45-b016-820faf68df1a,607/2024,https://island.is/domar/g-f9c72c6c-7bc9-4bfa-8ee3-0a6fa622fd3e,ákvörðun,19. desember 2025,Samþykkt
2025-162,https://island.is/s/haestirettur/akvardanir/e0976c6c-a33a-4b5b-b17f-a0049ebbe3e7,239/2025,https://island.is/domar/g-4366d948-930e-4e54-be2e-2142439ab4bc,ákvörðun,22. desember 2025,Samþykkt
2025-165,https://island.is/s/haestirettur/akvardanir/dd6e75f4-c426-4274-9164-ecfb4ab2e566,8/2025,https://island.is/domar/g-5b0ee7e5-de5b-432b-973d-2432dfa24a9a,ákvörðun,30. desember 2025,Hafnað
2025-169,https://island.is/s/haestirettur/akvardanir/ebde18f7-3076-4c99-89ff-496f411a8807,695/2025,https://island.is/domar/g-7b13dc0e-63ad-49a6-af70-0197ce60bc2c,ákvörðun,5. janúar 2026,Hafnað
2025-182,https://island.is/s/haestirettur/akvardanir/790a94a3-7945-4ee2-80ea-6c80e03f0492,590/2024,https://island.is/domar/g-61a97263-4c21-4f8c-8879-c742044f0c49,ákvörðun,9. janúar 2026,Hafnað
2025-155,https://island.is/s/haestirettur/akvardanir/5cea5b42-6094-4d48-b7d0-31fd6dcb3135,565/2024,https://island.is/domar/g-4345091a-528b-4f56-b38a-ab2a23cf13d2,ákvörðun,13. janúar 2026,Hafnað
2026-1,https://island.is/s/haestirettur/akvardanir/69b4e57f-d310-4052-83bb-79a27b92bf2e,370/2024,https://island.is/domar/g-b5269bf3-8a70-4d55-8d02-855caba817c2,ákvörðun,13. janúar 2026,Hafnað
2025-163,https://island.is/s/haestirettur/akvardanir/d3946aa4-0189-434e-9d33-12119248cc98,575/2024,https://island.is/domar/g-6c82fb18-d0e7-4807-ae07-bea56a0b81f4,ákvörðun,14. janúar 2026,Hafnað
2025-156,https://island.is/s/haestirettur/akvardanir/75efa636-cd1f-4b54-9e20-72d566d0519b,608/2024,https://island.is/domar/g-7c1f6838-9a58-491e-85b1-d12d8eb47997,ákvörðun,21. janúar 2026,Hafnað
2025-158,https://island.is/s/haestirettur/akvardanir/825c6201-55bf-4ea1-8326-628ebcc7f576,810/2024,https://island.is/domar/g-0ef229cb-a507-4561-b39d-ab830974f894,ákvörðun,21. janúar 2026,Hafnað
2025-166,https://island.is/s/haestirettur/akvardanir/ad09d834-2577-40b6-8e25-a9279db44847,772/2024,https://island.is/domar/g-0e7e2705-e0e5-4045-ad5f-d16e4787457a,ákvörðun,21. janúar 2026,Hafnað
