appeal,supreme,url
13/2024,141/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b0a961f2-a671-4f24-a318-6406369e2d27
255/2023,130/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=a600c3ab-dcab-4e5c-bdc8-caf8444a69b5
334/2024,123/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=29816d74-e0d0-489d-b599-1e9d721ba587
403/2023,125/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=68fa3923-7b7e-48d1-8ec4-a6b633cd333e
595/2024,121/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=8e5ae7f0-f386-43de-8cdf-a859faf375bf
368/2023,131/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=c3a55da5-3d7d-4cb3-a407-7834f94a3fa2
332/2023,140/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=eeb8d691-020d-4469-bdb6-4f6283f8543a
876/2024,158/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=9a594d98-9795-4743-ab8f-677c20876bef
302/2023,138/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=20855497-09da-4076-b14d-88b0bf09832f
345/2023,133/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=ca1386bc-9b99-4d42-ac6c-8aa9c24b2942
331/2023,134/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=3ec1a114-1bcd-48f3-9e6c-02433d66c4c4
655/2024,126/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=01e7a1b6-80d3-49ed-81ea-03b16573029c
483/2022,124/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=b77ce7f4-87d2-4c79-b975-1d7a56e566df
528/2024,128/2024,https://www.haestirettur.is/default.aspx?pageid=af3ab071-b30f-11eb-9b98-005056bc703c&id=f6c76afe-f309-4350-94c7-c5b2a08560ea
